wavelength_nm,glass_diffuse_reflectance,glass_diffuse_transmittance,glass_reflectance_percent,glass_transmittance_percent,source_R_file,source_T_file
379.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
379.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
380.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
380.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
381.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
381.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
382.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
382.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
383.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
383.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
384.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
384.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
385.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
385.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
386.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
386.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
387.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
387.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
388.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
388.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
389.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
389.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
390.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
390.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
391.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
