wavelength_nm,MR,MT,MR_corrected_percent,MT_corrected_percent,MR_raw_percent,MT_raw_percent,glass_R_percent,glass_T_percent,valid_iad_input,ratio_tag,thickness_um,sample_id,correction_method,source_R_file,source_T_file,glass_R_file,glass_T_file
350.0,0.317,-0.032,31.7,-3.2,35,0,3.3,3.2,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
350.5,0.321,-0.032,32.1,-3.2,35.4,0,3.3,3.2,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.0,0.325,-0.032,32.5,-3.2,35.8,0,3.3,3.2,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.5,0.329,-0.031,32.9,-3.1,36.2,0,3.3,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.0,0.334,-0.031,33.4,-3.1,36.7,0,3.3,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.5,0.339,-0.031,33.9,-3.1,37.2,0,3.3,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.0,0.344,-0.031,34.4,-3.1,37.6,0,3.2,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.5,0.347,-0.03,34.7,-3,37.9,0.1,3.2,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.0,0.351,-0.031,35.1,-3.1,38.3,0,3.2,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.5,0.355,-0.031,35.5,-3.1,38.7,0,3.2,3.1,0,X-X,140,X-X-140,sample_minus_glass_same_wavelength,inputs/511/X-X-140-R-D.txt,inputs/511/X-X-140-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
