wavelength_nm,MR,MT,MR_corrected_percent,MT_corrected_percent,MR_raw_percent,MT_raw_percent,glass_R_percent,glass_T_percent,valid_iad_input,ratio_tag,thickness_um,sample_id,correction_method,source_R_file,source_T_file,glass_R_file,glass_T_file
350.0,0.348,-0.032,34.8,-3.2,38.1,0,3.3,3.2,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
350.5,0.35,-0.032,35,-3.2,38.3,0,3.3,3.2,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.0,0.354,-0.032,35.4,-3.2,38.7,0,3.3,3.2,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.5,0.358,-0.03,35.8,-3,39.1,0.1,3.3,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.0,0.363,-0.03,36.3,-3,39.6,0.1,3.3,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.5,0.367,-0.03,36.7,-3,40,0.1,3.3,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.0,0.372,-0.03,37.2,-3,40.4,0.1,3.2,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.5,0.375,-0.03,37.5,-3,40.7,0.1,3.2,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.0,0.379,-0.03,37.9,-3,41.1,0.1,3.2,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.5,0.383,-0.03,38.3,-3,41.5,0.1,3.2,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
355.0,0.386,-0.03,38.6,-3,41.8,0.1,3.2,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
355.5,0.39,-0.03,39,-3,42.2,0.1,3.2,3.1,0,X-X,100,X-X-100,sample_minus_glass_same_wavelength,inputs/511/X-X-100-R-D.txt,inputs/511/X-X-100-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
