lambda_nm,bin_id,cos_theta_min,cos_theta_max,count_mean,count_std,probability_mean,probability_std,probability_density_mean,probability_density_std
450.0,39,0.21875,0.25,2135.2,493.66253655711006,0.01405984,0.0031821720542736212,0.44991459999999994,0.10182916121278815
450.0,40,0.25,0.28125,1740.4,588.9654489017162,0.011460662,0.0038334918682344952,0.3667412,0.12267146354470544
450.0,41,0.28125,0.3125,2067.8,445.83315264793845,0.013635275999999998,0.0029851417646202328,0.4363284,0.09552484787373389
450.0,42,0.3125,0.34375,2245.4,603.6052517995515,0.01480042,0.003999730815567468,0.473614,0.1279913584915013
450.0,43,0.34375,0.375,1722.8,404.53331136014003,0.011352262,0.002663380241538936,0.3632726,0.08522861985448316
450.0,44,0.375,0.40625,2085.2,499.4323778050438,0.01374524,0.0033184859835473164,0.4398482,0.10619181636406831
450.0,45,0.40625,0.4375,1773.4,541.8194348673735,0.011684678,0.003562669235898837,0.37390939999999995,0.11400496421121319
450.0,46,0.4375,0.46875,1834.4,672.4524518506867,0.01208299,0.004426228390288961,0.386655,0.14163861829141092
450.0,47,0.46875,0.5,1442.8,477.4596318014749,0.009503084,0.0031185650055001258,0.3040986,0.09979398939214727
450.0,48,0.5,0.53125,1769.2,281.57006232907645,0.01165236,0.0017997834475291742,0.3728758,0.05759283582790486
450.0,49,0.53125,0.5625,1609.8,195.03512504161912,0.010608858,0.0012915671406551034,0.339483,0.04132977851380286
450.0,50,0.5625,0.59375,1864.8,563.5611768033707,0.012298514,0.0037595082599297474,0.3935518,0.12030380394941799
450.0,51,0.59375,0.625,1888.2,277.8726326934698,0.01243838,0.0017964708575426431,0.39802780000000004,0.057487126430184346
450.0,52,0.625,0.65625,1802.2,557.0455098104643,0.011880228,0.003691499432584272,0.38016679999999997,0.1181276056631133
450.0,53,0.65625,0.6875,2039.0,398.65712084446704,0.013429398,0.002582581107442707,0.4297416,0.08264266311839183
450.0,54,0.6875,0.71875,2117.4,487.7840710806371,0.013949744,0.003193243489726394,0.4463916,0.10218390132158783
450.0,55,0.71875,0.75,2474.2,254.54803083111838,0.01630722,0.0017075401684879916,0.5218309999999999,0.05464190760762291
450.0,56,0.75,0.78125,2840.6,394.70976679073954,0.0187246,0.002640429466014951,0.5991874,0.08449451146257962
450.0,57,0.78125,0.8125,3376.6,364.97917748825074,0.02224978,0.0023900709271902367,0.7119937999999999,0.07648240580159599
450.0,58,0.8125,0.84375,3861.8,482.74703520581045,0.0254581,0.003263840218975187,0.8146592,0.10444245629867191
450.0,59,0.84375,0.875,4774.6,490.5601899869169,0.03146076,0.003204373293328978,1.0067452,0.10254125829489313
450.0,60,0.875,0.90625,6054.4,529.8412969937319,0.039902740000000006,0.003572366984647574,1.276888,0.11431881918564409
450.0,61,0.90625,0.9375,7674.0,425.476791376451,0.05057568,0.00294476167575578,1.6184239999999999,0.09423448906849341
450.0,62,0.9375,0.96875,10058.8,167.71612921839093,0.0662837,0.0010281724198790783,2.12108,0.03289930166432117
450.0,63,0.96875,1.0,20693.0,571.2875808207282,0.1363654,0.003963618586594829,4.363696,0.1268353114475617
