lambda_nm,bin_id,cos_theta_min,cos_theta_max,count_mean,count_std,probability_mean,probability_std,probability_density_mean,probability_density_std
450.0,0,-1.0,-0.96875,215.8,27.77048793233565,0.001422336,0.0001861700430520442,0.0455148,0.005957516234556142
450.0,1,-0.96875,-0.9375,231.8,14.307340773183533,0.001527212,8.801913382895794e-05,0.04887084,0.002816585339200644
450.0,2,-0.9375,-0.90625,241.0,25.317977802344327,0.001588566,0.00017231246220166435,0.05083410000000001,0.0055138773218126646
450.0,3,-0.90625,-0.875,245.6,8.734987120768983,0.001618478,5.892662785193125e-05,0.05179124,0.0018856860589716409
450.0,4,-0.875,-0.84375,238.8,21.111608181282637,0.0015732240000000002,0.0001334879358968443,0.05034318,0.004271592068187223
450.0,5,-0.84375,-0.8125,240.6,14.553350129781116,0.0015856260000000001,9.882579688522633e-05,0.05074004,0.0031623483865633787
450.0,6,-0.8125,-0.78125,233.6,16.14930339054908,0.0015394660000000002,0.0001085570528800409,0.049262879999999995,0.003473808852973923
450.0,7,-0.78125,-0.75,256.0,25.0499500997507,0.001686492,0.0001589425635882346,0.05396769999999999,0.005086198959930687
450.0,8,-0.75,-0.71875,250.4,13.794926603646719,0.001650134,9.254492357768736e-05,0.052804260000000006,0.002961439635211227
450.0,9,-0.71875,-0.6875,260.0,10.173494974687902,0.0017133860000000001,6.885758149978833e-05,0.054828339999999996,0.0022034612449507696
450.0,10,-0.6875,-0.65625,282.6,8.203657720797473,0.0018622799999999998,5.50145230825461e-05,0.05959294,0.001760477214564278
450.0,11,-0.65625,-0.625,288.6,18.063775906493085,0.0019018239999999999,0.0001196688901928986,0.06085842,0.0038293971205661088
450.0,12,-0.625,-0.59375,320.0,34.37295448459442,0.0021093979999999997,0.0002339646202313504,0.0675007,0.00748679963836351
450.0,13,-0.59375,-0.5625,348.8,32.07335342616983,0.002298716,0.00021417393966120153,0.07355894,0.006853552897074629
450.0,14,-0.5625,-0.53125,377.0,16.62828914831589,0.00248465,0.00011851212532901438,0.07950884,0.00379236206710277
450.0,15,-0.53125,-0.5,430.6,23.797058641773358,0.0028380000000000002,0.0001669935992785352,0.090816,0.005343760407709166
450.0,16,-0.5,-0.46875,572.8,27.617023735370182,0.0037748879999999997,0.00019006120137997663,0.12079659999999999,0.006081923240225904
450.0,17,-0.46875,-0.4375,782.6,40.04122875237472,0.005157176,0.00026584070630736767,0.1650298,0.008506632747450659
450.0,18,-0.4375,-0.40625,1885.2,341.6353318964536,0.012426274000000001,0.0022803997959524556,0.3976406,0.07297250727020418
450.0,19,-0.40625,-0.375,3201.4,372.97627270377404,0.02109774,0.0024742367212940634,0.6751275999999999,0.07917484881766433
450.0,20,-0.375,-0.34375,2959.2,401.5553511036804,0.01949292,0.002576073246629451,0.6237738,0.08243376641704536
450.0,21,-0.34375,-0.3125,3083.0,444.9280840765168,0.02032028,0.0029656214723055943,0.6502492,0.09489981841236579
450.0,22,-0.3125,-0.28125,3296.0,398.4538869179218,0.02171776,0.0026026136551551404,0.6949683999999999,0.08328349267591988
450.0,23,-0.28125,-0.25,3060.2,529.3885151757639,0.0201595,0.003448892425837605,0.6451036,0.11036457390304191
450.0,24,-0.25,-0.21875,2783.0,828.0012077285878,0.01833962,0.005453821901840947,0.5868678,0.17452261552503734
450.0,25,-0.21875,-0.1875,2098.0,239.73839909367877,0.013823279999999999,0.0015611816252441614,0.4423456,0.04995815875109889
450.0,26,-0.1875,-0.15625,2490.4,666.0775480377641,0.01640031,0.004349014080570445,0.5248096,0.1391682250777813
450.0,27,-0.15625,-0.125,2510.2,373.041150545084,0.01654458,0.0024861731490384985,0.5294268,0.07955792272740661
450.0,28,-0.125,-0.09375,2097.8,372.89234371330286,0.013825960000000002,0.0024795322064857313,0.4424312,0.07934495606653268
450.0,29,-0.09375,-0.0625,2837.4,275.86645319791967,0.01869642,0.001799725383773868,0.5982858,0.05759229618794514
450.0,30,-0.0625,-0.03125,2484.0,391.0383612895287,0.01637382,0.002605644301703515,0.5239621999999999,0.08338146445823555
450.0,31,-0.03125,0.0,2390.0,242.95267028785668,0.0157491,0.0016005022055592423,0.5039712,0.05121615877533183
450.0,32,0.0,0.03125,2372.0,269.55426169882753,0.01563186,0.0017902302569781352,0.5002196,0.05728666805025407
450.0,33,0.03125,0.0625,2122.8,431.0182130722552,0.01399026,0.002859575923629236,0.44768859999999994,0.09150600395493182
450.0,34,0.0625,0.09375,2458.0,367.6894069727873,0.01619858,0.002429373683071421,0.5183538000000001,0.07773992317464688
450.0,35,0.09375,0.125,2957.8,798.1608233933811,0.01948372,0.005217303576753033,0.6234794,0.16695361922192642
450.0,36,0.125,0.15625,2277.2,669.9870894278486,0.015008079999999998,0.00441955141185166,0.4802588,0.14142583106596898
450.0,37,0.15625,0.1875,2238.2,870.3937040213468,0.014740612,0.005703585705700407,0.4717002,0.18251520553011466
450.0,38,0.1875,0.21875,2388.2,716.1275724338506,0.015737380000000002,0.004712116890209749,0.5035966000000001,0.15078826114223878
