测定参数
[测定]
开始(nm):,650 nm
结束(nm):,350 nm
数据间隔(nm):,0.5
扫描速度:,中速
光度值类型:,反射率
[附件]
附件:,无
[高级设置]
狭缝宽度:,5.0
检测器单元:,外置(双检测器)
光源转换波长:,323
检测器转换波长:,830
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),反射率
350.0,46.5
350.5,46.8
351.0,47.1
351.5,47.6
352.0,48.0
352.5,48.4
353.0,48.8
353.5,49.2
354.0,49.6
354.5,49.9
355.0,50.2
355.5,50.5
356.0,50.8
356.5,51.1
357.0,51.4
357.5,51.7
358.0,51.9
358.5,52.2
359.0,52.4
359.5,52.7
360.0,53.0
360.5,53.4
361.0,53.7
361.5,54.0
362.0,54.3
362.5,54.6
363.0,54.7
363.5,55.0
364.0,55.3
364.5,55.5
365.0,55.8
365.5,56.1
366.0,56.4
366.5,56.7
367.0,57.0
367.5,57.3
368.0,57.7
368.5,58.0
369.0,58.4
369.5,58.7
370.0,58.9
370.5,59.2
371.0,59.4
371.5,59.6
372.0,59.8
372.5,60.0
373.0,60.2
373.5,60.4
374.0,60.8
374.5,61.1
375.0,61.5
375.5,61.8
376.0,62.2
376.5,62.5
377.0,62.8
377.5,63.1
378.0,63.5
378.5,63.9
379.0,64.3
379.5,64.7
380.0,65.0
380.5,65.3
381.0,65.6
381.5,65.9
382.0,66.3
382.5,66.6
383.0,67.0
383.5,67.4
384.0,67.8
384.5,68.1
385.0,68.5
385.5,68.8
386.0,69.2
386.5,69.6
387.0,69.9
387.5,70.3
388.0,70.6
388.5,70.9
389.0,71.3
389.5,71.6
390.0,71.9
390.5,72.2
391.0,72.5
391.5,72.8
392.0,73.0
392.5,73.3
393.0,73.6
393.5,74.0
394.0,74.2
394.5,74.5
395.0,74.8
395.5,75.1
396.0,75.3
396.5,75.5
397.0,75.7
397.5,75.9
398.0,76.1
398.5,76.3
399.0,76.5
399.5,76.7
400.0,77.0
400.5,77.1
401.0,77.3
401.5,77.4
402.0,77.6
402.5,77.7
403.0,77.9
403.5,78.0
404.0,78.1
404.5,78.3
405.0,78.4
405.5,78.5
406.0,78.6
406.5,78.7
407.0,78.8
407.5,78.8
408.0,78.9
408.5,79.0
409.0,79.0
409.5,79.1
410.0,79.2
410.5,79.2
411.0,79.3
411.5,79.3
412.0,79.4
412.5,79.4
413.0,79.4
413.5,79.4
414.0,79.4
414.5,79.5
415.0,79.5
415.5,79.6
416.0,79.7
416.5,79.8
417.0,79.8
417.5,79.8
418.0,79.8
418.5,79.8
419.0,79.7
419.5,79.8
420.0,79.8
420.5,79.9
421.0,79.9
421.5,80.0
422.0,80.0
422.5,80.0
423.0,79.9
423.5,79.8
424.0,79.7
424.5,79.7
425.0,79.7
425.5,79.8
426.0,79.8
426.5,79.8
427.0,79.8
427.5,79.8
428.0,79.7
428.5,79.7
429.0,79.7
429.5,79.7
430.0,79.7
430.5,79.6
431.0,79.6
431.5,79.6
432.0,79.6
432.5,79.6
433.0,79.6
433.5,79.6
434.0,79.6
434.5,79.6
435.0,79.5
435.5,79.5
436.0,79.4
436.5,79.4
437.0,79.4
437.5,79.4
438.0,79.3
438.5,79.3
439.0,79.2
439.5,79.2
440.0,79.2
440.5,79.2
441.0,79.1
441.5,79.1
442.0,79.1
442.5,79.1
443.0,79.1
443.5,79.1
444.0,79.1
444.5,79.1
445.0,79.0
445.5,79.0
446.0,79.0
446.5,79.0
447.0,78.9
447.5,78.9
448.0,78.8
448.5,78.8
449.0,78.8
449.5,78.7
450.0,78.6
450.5,78.6
451.0,78.5
451.5,78.5
452.0,78.5
452.5,78.5
453.0,78.5
453.5,78.5
454.0,78.6
454.5,78.6
455.0,78.6
455.5,78.6
456.0,78.6
456.5,78.5
457.0,78.5
457.5,78.4
458.0,78.4
458.5,78.3
459.0,78.3
459.5,78.2
460.0,78.1
460.5,78.1
461.0,78.1
461.5,78.0
462.0,78.1
462.5,78.1
463.0,78.1
463.5,78.1
464.0,78.1
464.5,78.0
465.0,78.0
465.5,78.0
466.0,78.0
466.5,78.0
467.0,78.0
467.5,77.9
468.0,77.9
468.5,77.8
469.0,77.8
469.5,77.8
470.0,77.8
470.5,77.7
471.0,77.7
471.5,77.6
472.0,77.6
472.5,77.6
473.0,77.6
473.5,77.6
474.0,77.6
474.5,77.5
475.0,77.5
475.5,77.4
476.0,77.4
476.5,77.4
477.0,77.4
477.5,77.4
478.0,77.4
478.5,77.4
479.0,77.3
479.5,77.3
480.0,77.3
480.5,77.3
481.0,77.3
481.5,77.3
482.0,77.3
482.5,77.2
483.0,77.1
483.5,77.1
484.0,77.1
484.5,77.1
485.0,77.1
485.5,77.1
486.0,77.1
486.5,77.0
487.0,77.0
487.5,77.0
488.0,77.0
488.5,77.0
489.0,77.0
489.5,76.9
490.0,76.9
490.5,76.8
491.0,76.8
491.5,76.7
492.0,76.7
492.5,76.7
493.0,76.7
493.5,76.7
494.0,76.7
494.5,76.6
495.0,76.6
495.5,76.6
496.0,76.6
496.5,76.6
497.0,76.5
497.5,76.5
498.0,76.5
498.5,76.5
499.0,76.5
499.5,76.5
500.0,76.4
500.5,76.4
501.0,76.4
501.5,76.3
502.0,76.2
502.5,76.3
503.0,76.2
503.5,76.2
504.0,76.2
504.5,76.2
505.0,76.2
505.5,76.1
506.0,76.1
506.5,76.0
507.0,76.0
507.5,76.0
508.0,76.0
508.5,75.9
509.0,75.9
509.5,75.9
510.0,75.9
510.5,75.9
511.0,75.9
511.5,75.9
512.0,75.9
512.5,75.9
513.0,76.0
513.5,75.9
514.0,75.9
514.5,75.8
515.0,75.7
515.5,75.7
516.0,75.6
516.5,75.6
517.0,75.6
517.5,75.6
518.0,75.6
518.5,75.6
519.0,75.5
519.5,75.5
520.0,75.4
520.5,75.3
521.0,75.3
521.5,75.3
522.0,75.3
522.5,75.3
523.0,75.3
523.5,75.3
524.0,75.3
524.5,75.2
525.0,75.2
525.5,75.2
526.0,75.2
526.5,75.2
527.0,75.1
527.5,75.1
528.0,75.1
528.5,75.1
529.0,75.1
529.5,75.0
530.0,75.0
530.5,75.0
531.0,75.0
531.5,75.0
532.0,75.0
532.5,75.0
533.0,74.9
533.5,74.9
534.0,74.8
534.5,74.8
535.0,74.8
535.5,74.7
536.0,74.7
536.5,74.7
537.0,74.6
537.5,74.6
538.0,74.5
538.5,74.5
539.0,74.5
539.5,74.5
540.0,74.5
540.5,74.4
541.0,74.4
541.5,74.4
542.0,74.4
542.5,74.3
543.0,74.3
543.5,74.3
544.0,74.2
544.5,74.2
545.0,74.2
545.5,74.1
546.0,74.1
546.5,74.1
547.0,74.1
547.5,74.1
548.0,74.1
548.5,74.0
549.0,74.0
549.5,74.0
550.0,74.0
550.5,74.1
551.0,74.1
551.5,74.0
552.0,74.0
552.5,74.0
553.0,73.9
553.5,73.8
554.0,73.8
554.5,73.8
555.0,73.8
555.5,73.8
556.0,73.7
556.5,73.7
557.0,73.7
557.5,73.6
558.0,73.6
558.5,73.6
559.0,73.6
559.5,73.6
560.0,73.6
560.5,73.6
561.0,73.6
561.5,73.6
562.0,73.5
562.5,73.5
563.0,73.4
563.5,73.4
564.0,73.3
564.5,73.3
