测定参数
[测定]
开始(nm):,650 nm
结束(nm):,350 nm
数据间隔(nm):,0.5
扫描速度:,中速
光度值类型:,反射率
[附件]
附件:,无
[高级设置]
狭缝宽度:,5.0
检测器单元:,外置(双检测器)
光源转换波长:,323
检测器转换波长:,830
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),反射率
350.0,38.1
350.5,38.3
351.0,38.7
351.5,39.1
352.0,39.6
352.5,40.0
353.0,40.4
353.5,40.7
354.0,41.1
354.5,41.5
355.0,41.8
355.5,42.2
356.0,42.6
356.5,42.9
357.0,43.1
357.5,43.4
358.0,43.7
358.5,44.0
359.0,44.3
359.5,44.7
360.0,45.1
360.5,45.4
361.0,45.7
361.5,46.0
362.0,46.2
362.5,46.6
363.0,46.9
363.5,47.2
364.0,47.6
364.5,47.9
365.0,48.1
365.5,48.4
366.0,48.7
366.5,49.0
367.0,49.4
367.5,49.7
368.0,50.0
368.5,50.4
369.0,50.7
369.5,51.0
370.0,51.3
370.5,51.7
371.0,52.0
371.5,52.2
372.0,52.4
372.5,52.6
373.0,52.8
373.5,52.9
374.0,53.3
374.5,53.7
375.0,54.1
375.5,54.5
376.0,54.9
376.5,55.4
377.0,55.8
377.5,56.1
378.0,56.6
378.5,57.0
379.0,57.4
379.5,57.8
380.0,58.3
380.5,58.7
381.0,59.1
381.5,59.5
382.0,60.0
382.5,60.3
383.0,60.8
383.5,61.2
384.0,61.7
384.5,62.1
385.0,62.6
385.5,63.1
386.0,63.5
386.5,64.0
387.0,64.4
387.5,64.9
388.0,65.3
388.5,65.8
389.0,66.2
389.5,66.7
390.0,67.1
390.5,67.5
391.0,68.0
391.5,68.4
392.0,68.9
392.5,69.3
393.0,69.8
393.5,70.2
394.0,70.7
394.5,71.2
395.0,71.6
395.5,72.1
396.0,72.5
396.5,72.9
397.0,73.3
397.5,73.7
398.0,74.0
398.5,74.4
399.0,74.8
399.5,75.2
400.0,75.6
400.5,76.0
401.0,76.3
401.5,76.7
402.0,77.0
402.5,77.4
403.0,77.7
403.5,78.0
404.0,78.3
404.5,78.6
405.0,78.9
405.5,79.2
406.0,79.5
406.5,79.8
407.0,80.0
407.5,80.3
408.0,80.6
408.5,80.9
409.0,81.1
409.5,81.4
410.0,81.6
410.5,81.8
411.0,82.0
411.5,82.2
412.0,82.4
412.5,82.6
413.0,82.7
413.5,82.9
414.0,83.0
414.5,83.2
415.0,83.3
415.5,83.4
416.0,83.5
416.5,83.6
417.0,83.7
417.5,83.8
418.0,83.9
418.5,84.0
419.0,84.1
419.5,84.2
420.0,84.3
420.5,84.3
421.0,84.4
421.5,84.6
422.0,84.7
422.5,84.7
423.0,84.7
423.5,84.8
424.0,84.8
424.5,84.9
425.0,84.9
425.5,85.0
426.0,85.1
426.5,85.2
427.0,85.2
427.5,85.3
428.0,85.3
428.5,85.3
429.0,85.4
429.5,85.4
430.0,85.4
430.5,85.4
431.0,85.4
431.5,85.4
432.0,85.4
432.5,85.4
433.0,85.5
433.5,85.5
434.0,85.6
434.5,85.6
435.0,85.6
435.5,85.6
436.0,85.6
436.5,85.6
437.0,85.6
437.5,85.7
438.0,85.7
438.5,85.7
439.0,85.7
439.5,85.7
440.0,85.7
440.5,85.7
441.0,85.7
441.5,85.7
442.0,85.7
442.5,85.7
443.0,85.8
443.5,85.8
444.0,85.8
444.5,85.8
445.0,85.8
445.5,85.8
446.0,85.8
446.5,85.7
447.0,85.7
447.5,85.7
448.0,85.7
448.5,85.7
449.0,85.6
449.5,85.6
450.0,85.6
450.5,85.6
451.0,85.6
451.5,85.6
452.0,85.6
452.5,85.6
453.0,85.6
453.5,85.7
454.0,85.7
454.5,85.7
455.0,85.7
455.5,85.7
456.0,85.7
456.5,85.7
457.0,85.7
457.5,85.7
458.0,85.7
458.5,85.7
459.0,85.6
459.5,85.6
460.0,85.6
460.5,85.6
461.0,85.6
461.5,85.6
462.0,85.6
462.5,85.7
463.0,85.6
463.5,85.7
464.0,85.6
464.5,85.6
465.0,85.5
465.5,85.5
466.0,85.4
466.5,85.4
467.0,85.4
467.5,85.4
468.0,85.5
468.5,85.5
469.0,85.5
469.5,85.5
470.0,85.4
470.5,85.4
471.0,85.3
471.5,85.4
472.0,85.4
472.5,85.4
473.0,85.5
473.5,85.4
474.0,85.4
474.5,85.4
475.0,85.3
475.5,85.3
476.0,85.3
476.5,85.3
477.0,85.3
477.5,85.3
478.0,85.3
478.5,85.3
479.0,85.3
479.5,85.3
480.0,85.3
480.5,85.3
481.0,85.3
481.5,85.3
482.0,85.3
482.5,85.3
483.0,85.2
483.5,85.2
484.0,85.2
484.5,85.2
485.0,85.3
485.5,85.3
486.0,85.3
486.5,85.2
487.0,85.2
487.5,85.2
488.0,85.3
488.5,85.3
489.0,85.3
489.5,85.3
490.0,85.2
490.5,85.1
491.0,85.1
491.5,85.1
492.0,85.1
492.5,85.2
493.0,85.2
493.5,85.2
494.0,85.2
494.5,85.2
495.0,85.3
495.5,85.3
496.0,85.3
496.5,85.3
497.0,85.3
497.5,85.3
498.0,85.3
498.5,85.2
499.0,85.3
499.5,85.3
500.0,85.2
500.5,85.2
501.0,85.2
501.5,85.2
502.0,85.1
502.5,85.1
503.0,85.1
503.5,85.1
504.0,85.1
504.5,85.1
505.0,85.1
505.5,85.1
506.0,85.1
506.5,85.1
507.0,85.1
507.5,85.1
508.0,85.1
508.5,85.1
509.0,85.0
509.5,85.0
510.0,85.0
510.5,85.0
511.0,85.0
511.5,85.0
512.0,85.0
512.5,85.0
513.0,85.0
513.5,85.0
514.0,85.0
514.5,85.0
515.0,85.0
515.5,85.0
516.0,85.0
516.5,85.0
517.0,85.0
517.5,85.0
518.0,84.9
518.5,84.9
519.0,84.9
519.5,84.9
520.0,84.9
520.5,84.9
521.0,84.8
521.5,84.8
522.0,84.7
522.5,84.7
523.0,84.7
523.5,84.7
524.0,84.7
524.5,84.7
525.0,84.7
525.5,84.7
526.0,84.8
526.5,84.8
527.0,84.8
527.5,84.7
528.0,84.7
528.5,84.7
529.0,84.7
529.5,84.6
530.0,84.6
530.5,84.6
531.0,84.7
531.5,84.7
532.0,84.6
532.5,84.7
533.0,84.6
533.5,84.6
534.0,84.6
534.5,84.6
535.0,84.6
535.5,84.6
536.0,84.6
536.5,84.7
537.0,84.7
537.5,84.6
538.0,84.6
538.5,84.6
539.0,84.5
539.5,84.5
540.0,84.5
540.5,84.5
541.0,84.5
541.5,84.4
542.0,84.4
542.5,84.4
543.0,84.5
543.5,84.5
544.0,84.4
544.5,84.4
545.0,84.4
545.5,84.4
546.0,84.4
546.5,84.4
547.0,84.4
547.5,84.4
548.0,84.4
548.5,84.3
549.0,84.4
549.5,84.4
550.0,84.4
550.5,84.4
551.0,84.4
551.5,84.4
552.0,84.3
552.5,84.3
553.0,84.3
553.5,84.3
554.0,84.3
554.5,84.3
555.0,84.3
555.5,84.3
556.0,84.3
556.5,84.2
557.0,84.2
557.5,84.2
558.0,84.2
558.5,84.1
559.0,84.1
559.5,84.2
560.0,84.2
560.5,84.2
561.0,84.2
561.5,84.2
562.0,84.2
562.5,84.1
563.0,84.1
563.5,84.0
564.0,84.0
564.5,84.0
