²¨³¤(nm)	LY-511-04 - RawData
350.0	0.5
350.5	0.5
351.0	0.5
351.5	0.6
352.0	0.6
352.5	0.6
353.0	0.7
353.5	0.7
354.0	0.8
354.5	0.8
355.0	0.9
355.5	0.9
356.0	0.9
356.5	1.0
357.0	1.0
357.5	1.1
358.0	1.1
358.5	1.2
359.0	1.2
359.5	1.3
360.0	1.3
360.5	1.3
361.0	1.4
361.5	1.4
362.0	1.5
362.5	1.6
363.0	1.6
363.5	1.7
364.0	1.7
364.5	1.8
365.0	1.9
365.5	2.0
366.0	2.0
366.5	2.1
367.0	2.2
367.5	2.2
368.0	2.3
368.5	2.4
369.0	2.5
369.5	2.6
370.0	2.7
370.5	2.8
371.0	2.9
371.5	3.0
372.0	3.1
372.5	3.3
373.0	3.4
373.5	3.5
374.0	3.6
374.5	3.7
375.0	3.8
375.5	4.0
376.0	4.1
376.5	4.2
377.0	4.3
377.5	4.5
378.0	4.6
378.5	4.7
379.0	4.9
379.5	5.0
380.0	5.2
380.5	5.3
381.0	5.5
381.5	5.6
382.0	5.8
382.5	5.9
383.0	6.1
383.5	6.2
384.0	6.4
384.5	6.5
385.0	6.7
385.5	6.9
386.0	7.0
386.5	7.2
387.0	7.3
387.5	7.5
388.0	7.7
388.5	7.8
389.0	8.0
389.5	8.2
390.0	8.3
390.5	8.5
391.0	8.6
391.5	8.8
392.0	9.0
392.5	9.1
393.0	9.3
393.5	9.4
394.0	9.6
394.5	9.7
395.0	9.9
395.5	10.0
396.0	10.1
396.5	10.3
397.0	10.4
397.5	10.5
398.0	10.7
398.5	10.8
399.0	10.9
399.5	11.0
400.0	11.2
400.5	11.3
401.0	11.4
401.5	11.5
402.0	11.6
402.5	11.7
403.0	11.8
403.5	11.9
404.0	12.0
404.5	12.1
405.0	12.2
405.5	12.3
406.0	12.3
406.5	12.4
407.0	12.5
407.5	12.6
408.0	12.6
408.5	12.7
409.0	12.8
409.5	12.8
410.0	12.9
410.5	12.9
411.0	13.0
411.5	13.1
412.0	13.1
412.5	13.2
413.0	13.2
413.5	13.3
414.0	13.3
414.5	13.4
415.0	13.4
415.5	13.5
416.0	13.5
416.5	13.6
417.0	13.6
417.5	13.6
418.0	13.7
418.5	13.7
419.0	13.8
419.5	13.8
420.0	13.8
420.5	13.9
421.0	13.9
421.5	13.9
422.0	14.0
422.5	14.0
423.0	14.0
423.5	14.1
424.0	14.1
424.5	14.1
425.0	14.1
425.5	14.2
426.0	14.2
426.5	14.2
427.0	14.3
427.5	14.3
428.0	14.3
