测定参数
[测定]
开始(nm):,650 nm
结束(nm):,350 nm
数据间隔(nm):,0.5
扫描速度:,中速
光度值类型:,反射率
[附件]
附件:,无
[高级设置]
狭缝宽度:,5.0
检测器单元:,外置(双检测器)
光源转换波长:,323
检测器转换波长:,830
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),反射率
350.0,33.8
350.5,34.0
351.0,34.4
351.5,34.8
352.0,35.2
352.5,35.7
353.0,36.0
353.5,36.5
354.0,36.9
354.5,37.2
355.0,37.5
355.5,37.9
356.0,38.2
356.5,38.5
357.0,38.8
357.5,39.0
358.0,39.3
358.5,39.7
359.0,40.0
359.5,40.3
360.0,40.7
360.5,41.0
361.0,41.2
361.5,41.5
362.0,41.8
362.5,42.1
363.0,42.4
363.5,42.7
364.0,43.0
364.5,43.3
365.0,43.6
365.5,43.9
366.0,44.3
366.5,44.6
367.0,44.9
367.5,45.3
368.0,45.7
368.5,46.0
369.0,46.3
369.5,46.7
370.0,47.0
370.5,47.3
371.0,47.7
371.5,47.8
372.0,48.0
372.5,48.2
373.0,48.4
373.5,48.5
374.0,48.9
374.5,49.2
375.0,49.6
375.5,50.0
376.0,50.4
376.5,50.8
377.0,51.2
377.5,51.6
378.0,52.0
378.5,52.5
379.0,52.9
379.5,53.4
380.0,53.8
380.5,54.3
381.0,54.6
381.5,55.1
382.0,55.6
382.5,56.0
383.0,56.5
383.5,57.0
384.0,57.5
384.5,57.9
385.0,58.4
385.5,58.9
386.0,59.3
386.5,59.8
387.0,60.3
387.5,60.7
388.0,61.3
388.5,61.8
389.0,62.2
389.5,62.7
390.0,63.2
390.5,63.7
391.0,64.1
391.5,64.6
392.0,65.0
392.5,65.5
393.0,66.0
393.5,66.5
394.0,67.0
394.5,67.5
395.0,68.0
395.5,68.4
396.0,68.9
396.5,69.3
397.0,69.6
397.5,70.0
398.0,70.4
398.5,70.8
399.0,71.2
399.5,71.7
400.0,72.1
400.5,72.4
401.0,72.8
401.5,73.1
402.0,73.5
402.5,73.8
403.0,74.1
403.5,74.5
404.0,74.8
404.5,75.1
405.0,75.4
405.5,75.7
406.0,75.9
406.5,76.2
407.0,76.4
407.5,76.6
408.0,76.9
408.5,77.1
409.0,77.3
409.5,77.5
410.0,77.8
410.5,78.0
411.0,78.1
411.5,78.3
412.0,78.5
412.5,78.6
413.0,78.8
413.5,78.9
414.0,79.1
414.5,79.2
415.0,79.3
415.5,79.3
416.0,79.3
416.5,79.4
417.0,79.4
417.5,79.4
418.0,79.5
418.5,79.6
419.0,79.7
419.5,79.8
420.0,79.8
420.5,79.9
421.0,80.0
421.5,80.0
422.0,80.1
422.5,80.1
423.0,80.1
423.5,80.1
424.0,80.1
424.5,80.1
425.0,80.2
425.5,80.2
426.0,80.3
426.5,80.3
427.0,80.3
427.5,80.3
428.0,80.3
428.5,80.3
429.0,80.3
429.5,80.3
430.0,80.3
430.5,80.4
431.0,80.4
431.5,80.4
432.0,80.4
432.5,80.4
433.0,80.4
433.5,80.4
434.0,80.5
434.5,80.4
435.0,80.4
435.5,80.4
436.0,80.4
436.5,80.3
437.0,80.3
437.5,80.3
438.0,80.3
438.5,80.3
439.0,80.3
439.5,80.3
440.0,80.3
440.5,80.3
441.0,80.3
441.5,80.2
442.0,80.2
442.5,80.2
443.0,80.2
443.5,80.2
444.0,80.3
444.5,80.3
445.0,80.3
445.5,80.3
446.0,80.3
446.5,80.3
447.0,80.3
447.5,80.2
448.0,80.2
448.5,80.1
449.0,80.1
449.5,80.0
450.0,80.0
450.5,80.0
451.0,79.9
451.5,80.0
452.0,80.0
452.5,80.0
453.0,80.0
453.5,80.1
454.0,80.0
454.5,80.0
455.0,80.0
455.5,80.0
456.0,80.0
456.5,79.9
457.0,79.9
457.5,79.9
458.0,79.9
458.5,79.9
459.0,79.9
459.5,79.8
460.0,79.8
460.5,79.8
461.0,79.8
461.5,79.8
462.0,79.7
462.5,79.7
463.0,79.7
463.5,79.7
464.0,79.7
464.5,79.7
465.0,79.7
465.5,79.7
466.0,79.6
466.5,79.6
467.0,79.6
467.5,79.6
468.0,79.6
468.5,79.6
469.0,79.6
469.5,79.5
470.0,79.5
470.5,79.5
471.0,79.4
471.5,79.4
472.0,79.4
472.5,79.4
473.0,79.4
473.5,79.3
474.0,79.3
474.5,79.3
475.0,79.2
475.5,79.2
476.0,79.2
476.5,79.3
477.0,79.3
477.5,79.3
478.0,79.3
478.5,79.3
479.0,79.2
479.5,79.2
480.0,79.2
480.5,79.2
481.0,79.2
481.5,79.2
482.0,79.2
482.5,79.1
483.0,79.1
483.5,79.0
484.0,79.0
484.5,79.0
485.0,79.0
485.5,79.1
486.0,79.0
486.5,79.1
487.0,79.1
487.5,79.1
488.0,79.1
488.5,79.1
489.0,79.0
489.5,79.0
490.0,79.0
490.5,78.9
491.0,78.9
491.5,78.8
492.0,78.8
492.5,78.8
493.0,78.9
493.5,78.9
494.0,78.9
494.5,78.9
495.0,78.8
495.5,78.8
496.0,78.8
496.5,78.8
497.0,78.8
497.5,78.8
498.0,78.8
498.5,78.7
499.0,78.7
499.5,78.7
500.0,78.7
500.5,78.6
501.0,78.7
501.5,78.6
502.0,78.6
502.5,78.6
503.0,78.5
503.5,78.5
504.0,78.5
504.5,78.5
505.0,78.5
505.5,78.5
506.0,78.4
506.5,78.4
507.0,78.4
507.5,78.4
508.0,78.4
508.5,78.4
509.0,78.4
509.5,78.4
510.0,78.4
510.5,78.4
511.0,78.4
511.5,78.3
512.0,78.4
512.5,78.4
513.0,78.4
513.5,78.4
514.0,78.4
514.5,78.3
515.0,78.3
515.5,78.2
516.0,78.2
516.5,78.2
517.0,78.3
517.5,78.3
518.0,78.3
518.5,78.2
519.0,78.2
519.5,78.1
520.0,78.1
520.5,78.1
521.0,78.1
521.5,78.1
522.0,78.1
522.5,78.0
523.0,78.0
523.5,78.0
524.0,77.9
524.5,77.9
525.0,77.9
525.5,77.9
526.0,77.9
526.5,77.9
527.0,77.9
527.5,77.9
528.0,77.9
528.5,77.9
529.0,77.9
529.5,77.9
530.0,77.8
530.5,77.8
531.0,77.8
531.5,77.8
532.0,77.8
532.5,77.8
533.0,77.8
533.5,77.7
534.0,77.7
534.5,77.7
535.0,77.7
535.5,77.7
536.0,77.8
536.5,77.8
537.0,77.8
537.5,77.8
538.0,77.7
538.5,77.7
539.0,77.7
539.5,77.7
540.0,77.7
540.5,77.7
541.0,77.7
541.5,77.6
542.0,77.6
542.5,77.6
543.0,77.6
543.5,77.5
544.0,77.5
544.5,77.5
545.0,77.5
545.5,77.5
546.0,77.5
546.5,77.5
547.0,77.5
547.5,77.5
548.0,77.5
548.5,77.5
549.0,77.5
549.5,77.5
550.0,77.5
550.5,77.5
551.0,77.5
551.5,77.5
552.0,77.5
552.5,77.5
553.0,77.4
553.5,77.4
554.0,77.4
554.5,77.3
555.0,77.3
555.5,77.2
556.0,77.2
556.5,77.2
557.0,77.2
557.5,77.2
558.0,77.2
558.5,77.2
559.0,77.2
559.5,77.2
560.0,77.2
560.5,77.2
561.0,77.2
561.5,77.2
562.0,77.2
562.5,77.1
563.0,77.1
563.5,77.0
564.0,77.0
564.5,77.0
