测定参数
[测定]
开始(nm):,650 nm
结束(nm):,350 nm
数据间隔(nm):,0.5
扫描速度:,中速
光度值类型:,反射率
[附件]
附件:,无
[高级设置]
狭缝宽度:,5.0
检测器单元:,外置(双检测器)
光源转换波长:,323
检测器转换波长:,830
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),反射率
350.0,48.0
350.5,48.3
351.0,48.7
351.5,49.1
352.0,49.6
352.5,50.1
353.0,50.5
353.5,50.9
354.0,51.3
354.5,51.6
355.0,51.9
355.5,52.3
356.0,52.6
356.5,52.9
357.0,53.2
357.5,53.4
358.0,53.7
358.5,54.0
359.0,54.3
359.5,54.6
360.0,54.9
360.5,55.2
361.0,55.4
361.5,55.7
362.0,56.0
362.5,56.4
363.0,56.7
363.5,57.0
364.0,57.3
364.5,57.5
365.0,57.8
365.5,58.1
366.0,58.4
366.5,58.6
367.0,58.9
367.5,59.3
368.0,59.6
368.5,60.0
369.0,60.3
369.5,60.7
370.0,61.0
370.5,61.2
371.0,61.5
371.5,61.7
372.0,61.9
372.5,62.1
373.0,62.3
373.5,62.5
374.0,62.9
374.5,63.2
375.0,63.6
375.5,63.9
376.0,64.3
376.5,64.7
377.0,65.0
377.5,65.4
378.0,65.8
378.5,66.2
379.0,66.5
379.5,66.9
380.0,67.3
380.5,67.7
381.0,68.0
381.5,68.4
382.0,68.7
382.5,69.1
383.0,69.4
383.5,69.9
384.0,70.3
384.5,70.7
385.0,71.1
385.5,71.5
386.0,71.9
386.5,72.2
387.0,72.6
387.5,72.9
388.0,73.3
388.5,73.7
389.0,74.1
389.5,74.5
390.0,74.9
390.5,75.2
391.0,75.6
391.5,76.0
392.0,76.3
392.5,76.6
393.0,76.9
393.5,77.3
394.0,77.6
394.5,78.0
395.0,78.4
395.5,78.8
396.0,79.2
396.5,79.5
397.0,79.8
397.5,80.1
398.0,80.4
398.5,80.7
399.0,81.0
399.5,81.3
400.0,81.6
400.5,81.8
401.0,82.1
401.5,82.4
402.0,82.7
402.5,82.9
403.0,83.2
403.5,83.5
404.0,83.7
404.5,84.0
405.0,84.2
405.5,84.4
406.0,84.6
406.5,84.8
407.0,85.1
407.5,85.3
408.0,85.4
408.5,85.6
409.0,85.8
409.5,85.9
410.0,86.1
410.5,86.3
411.0,86.5
411.5,86.6
412.0,86.8
412.5,86.9
413.0,87.0
413.5,87.1
414.0,87.2
414.5,87.3
415.0,87.4
415.5,87.6
416.0,87.8
416.5,87.9
417.0,88.0
417.5,88.1
418.0,88.2
418.5,88.2
419.0,88.3
419.5,88.4
420.0,88.5
420.5,88.5
421.0,88.6
421.5,88.7
422.0,88.7
422.5,88.8
423.0,88.8
423.5,88.8
424.0,88.8
424.5,88.9
425.0,89.0
425.5,89.1
426.0,89.1
426.5,89.2
427.0,89.3
427.5,89.3
428.0,89.3
428.5,89.4
429.0,89.4
429.5,89.4
430.0,89.5
430.5,89.5
431.0,89.5
431.5,89.5
432.0,89.5
432.5,89.5
433.0,89.5
433.5,89.6
434.0,89.7
434.5,89.7
435.0,89.7
435.5,89.8
436.0,89.8
436.5,89.7
437.0,89.7
437.5,89.8
438.0,89.8
438.5,89.8
439.0,89.8
439.5,89.8
440.0,89.8
440.5,89.8
441.0,89.8
441.5,89.8
442.0,89.8
442.5,89.9
443.0,89.9
443.5,89.9
444.0,90.0
444.5,90.1
445.0,90.1
445.5,90.1
446.0,90.1
446.5,90.1
447.0,90.1
447.5,90.0
448.0,90.0
448.5,90.0
449.0,90.0
449.5,90.0
450.0,90.0
450.5,90.0
451.0,90.0
451.5,90.0
452.0,90.0
452.5,90.0
453.0,90.0
453.5,90.1
454.0,90.1
454.5,90.2
455.0,90.2
455.5,90.3
456.0,90.3
456.5,90.3
457.0,90.3
457.5,90.3
458.0,90.2
458.5,90.2
459.0,90.2
459.5,90.2
460.0,90.2
460.5,90.2
461.0,90.2
461.5,90.2
462.0,90.2
462.5,90.2
463.0,90.2
463.5,90.2
464.0,90.2
464.5,90.2
465.0,90.2
465.5,90.2
466.0,90.2
466.5,90.3
467.0,90.3
467.5,90.4
468.0,90.4
468.5,90.4
469.0,90.4
469.5,90.4
470.0,90.4
470.5,90.3
471.0,90.3
471.5,90.3
472.0,90.3
472.5,90.3
473.0,90.3
473.5,90.3
474.0,90.3
474.5,90.3
475.0,90.3
475.5,90.3
476.0,90.3
476.5,90.4
477.0,90.4
477.5,90.4
478.0,90.4
478.5,90.4
479.0,90.4
479.5,90.4
480.0,90.4
480.5,90.4
481.0,90.4
481.5,90.5
482.0,90.5
482.5,90.5
483.0,90.5
483.5,90.4
484.0,90.5
484.5,90.5
485.0,90.5
485.5,90.5
486.0,90.4
486.5,90.4
487.0,90.4
487.5,90.4
488.0,90.5
488.5,90.5
489.0,90.5
489.5,90.5
490.0,90.4
490.5,90.4
491.0,90.3
491.5,90.3
492.0,90.4
492.5,90.4
493.0,90.4
493.5,90.5
494.0,90.5
494.5,90.4
495.0,90.4
495.5,90.4
496.0,90.4
496.5,90.5
497.0,90.5
497.5,90.5
498.0,90.5
498.5,90.5
499.0,90.5
499.5,90.6
500.0,90.5
500.5,90.5
501.0,90.5
501.5,90.5
502.0,90.5
502.5,90.4
503.0,90.4
503.5,90.4
504.0,90.5
504.5,90.5
505.0,90.5
505.5,90.5
506.0,90.4
506.5,90.4
507.0,90.4
507.5,90.5
508.0,90.5
508.5,90.5
509.0,90.5
509.5,90.5
510.0,90.5
510.5,90.5
511.0,90.5
511.5,90.5
512.0,90.5
512.5,90.5
513.0,90.5
513.5,90.5
514.0,90.5
514.5,90.4
515.0,90.4
515.5,90.4
516.0,90.4
516.5,90.5
517.0,90.5
517.5,90.5
518.0,90.5
518.5,90.4
519.0,90.4
519.5,90.4
520.0,90.4
520.5,90.4
521.0,90.4
521.5,90.5
522.0,90.5
522.5,90.4
523.0,90.4
523.5,90.4
524.0,90.3
524.5,90.3
525.0,90.3
525.5,90.3
526.0,90.3
526.5,90.4
527.0,90.4
527.5,90.4
528.0,90.4
528.5,90.4
529.0,90.4
529.5,90.3
530.0,90.4
530.5,90.3
531.0,90.4
531.5,90.4
532.0,90.4
532.5,90.4
533.0,90.4
533.5,90.4
534.0,90.4
534.5,90.4
535.0,90.4
535.5,90.4
536.0,90.4
536.5,90.4
537.0,90.3
537.5,90.3
538.0,90.3
538.5,90.3
539.0,90.3
539.5,90.3
540.0,90.4
540.5,90.4
541.0,90.3
541.5,90.3
542.0,90.3
542.5,90.2
543.0,90.2
543.5,90.2
544.0,90.2
544.5,90.2
545.0,90.2
545.5,90.2
546.0,90.2
546.5,90.2
547.0,90.2
547.5,90.2
548.0,90.2
548.5,90.2
549.0,90.2
549.5,90.2
550.0,90.2
550.5,90.2
551.0,90.2
551.5,90.2
552.0,90.2
552.5,90.2
553.0,90.1
553.5,90.1
554.0,90.1
554.5,90.1
555.0,90.1
555.5,90.2
556.0,90.1
556.5,90.1
557.0,90.1
557.5,90.1
558.0,90.0
558.5,90.1
559.0,90.1
559.5,90.1
560.0,90.1
560.5,90.2
561.0,90.1
561.5,90.2
562.0,90.2
562.5,90.1
563.0,90.1
563.5,90.1
564.0,90.0
564.5,90.0
