²¨³¤(nm)	ly-511-02 - RawData
350.0	0.0
350.5	0.0
351.0	0.0
351.5	0.1
352.0	0.1
352.5	0.1
353.0	0.1
353.5	0.1
354.0	0.1
354.5	0.1
355.0	0.1
355.5	0.1
356.0	0.1
356.5	0.1
357.0	0.1
357.5	0.1
358.0	0.1
358.5	0.0
359.0	0.1
359.5	0.1
360.0	0.0
360.5	0.1
361.0	0.1
361.5	0.1
362.0	0.1
362.5	0.1
363.0	0.0
363.5	0.0
364.0	0.0
364.5	0.1
365.0	0.1
365.5	0.0
366.0	0.0
366.5	0.0
367.0	0.0
367.5	0.1
368.0	0.1
368.5	0.1
369.0	0.1
369.5	0.1
370.0	0.1
370.5	0.1
371.0	0.1
371.5	0.1
372.0	0.1
372.5	0.1
373.0	0.1
373.5	0.1
374.0	0.1
374.5	0.1
375.0	0.1
375.5	0.1
376.0	0.1
376.5	0.1
377.0	0.1
377.5	0.1
378.0	0.1
378.5	0.1
379.0	0.1
379.5	0.1
380.0	0.1
380.5	0.1
381.0	0.1
381.5	0.1
382.0	0.1
382.5	0.1
383.0	0.1
383.5	0.1
384.0	0.1
384.5	0.2
385.0	0.2
385.5	0.2
386.0	0.2
386.5	0.2
387.0	0.2
387.5	0.2
388.0	0.2
388.5	0.3
389.0	0.3
389.5	0.3
390.0	0.3
390.5	0.4
391.0	0.4
391.5	0.4
392.0	0.4
392.5	0.5
393.0	0.5
393.5	0.5
394.0	0.6
394.5	0.6
395.0	0.7
395.5	0.7
396.0	0.8
396.5	0.8
397.0	0.9
397.5	0.9
398.0	1.0
398.5	1.1
399.0	1.1
399.5	1.2
400.0	1.3
400.5	1.3
401.0	1.4
401.5	1.5
402.0	1.6
402.5	1.6
403.0	1.7
403.5	1.8
404.0	1.9
404.5	2.0
405.0	2.1
405.5	2.1
406.0	2.2
406.5	2.3
407.0	2.4
407.5	2.5
408.0	2.6
408.5	2.6
409.0	2.7
409.5	2.8
410.0	2.9
410.5	2.9
411.0	3.0
411.5	3.1
412.0	3.2
412.5	3.2
413.0	3.3
413.5	3.4
414.0	3.4
414.5	3.5
415.0	3.6
415.5	3.6
416.0	3.7
416.5	3.8
417.0	3.8
417.5	3.9
418.0	3.9
418.5	4.0
419.0	4.0
419.5	4.1
420.0	4.1
420.5	4.2
421.0	4.2
421.5	4.2
422.0	4.3
422.5	4.3
423.0	4.4
423.5	4.4
424.0	4.5
424.5	4.5
425.0	4.5
425.5	4.6
426.0	4.6
426.5	4.6
427.0	4.7
427.5	4.7
428.0	4.7
428.5	4.8
429.0	4.8
429.5	4.8
430.0	4.8
430.5	4.9
431.0	4.9
431.5	4.9
432.0	5.0
432.5	5.0
433.0	5.0
433.5	5.0
434.0	5.1
434.5	5.1
435.0	5.1
435.5	5.1
436.0	5.1
436.5	5.2
437.0	5.2
437.5	5.2
438.0	5.2
438.5	5.3
439.0	5.3
439.5	5.3
440.0	5.3
440.5	5.3
441.0	5.4
441.5	5.4
442.0	5.4
442.5	5.4
443.0	5.4
443.5	5.4
444.0	5.5
444.5	5.5
445.0	5.5
445.5	5.5
446.0	5.6
446.5	5.6
447.0	5.6
447.5	5.6
448.0	5.6
448.5	5.6
449.0	5.6
449.5	5.7
450.0	5.7
450.5	5.7
451.0	5.7
451.5	5.7
452.0	5.7
452.5	5.7
453.0	5.8
453.5	5.8
454.0	5.8
454.5	5.8
455.0	5.8
455.5	5.8
456.0	5.8
456.5	5.9
457.0	5.9
457.5	5.9
458.0	5.9
458.5	5.9
459.0	5.9
459.5	6.0
460.0	6.0
460.5	6.0
461.0	6.0
461.5	6.0
462.0	6.0
462.5	6.0
